name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,name_2
Dhofar 689,7446,Valid,H5/6,503.00000,Found,01/01/2001 12:00:00 AM,19.37513,54.74853,"(19.37513, 54.74853)",Oman
Dhofar 690,7447,Valid,L6,1769.00000,Found,01/01/2001 12:00:00 AM,19.41180,54.76188,"(19.4118, 54.76188)",Oman
Dhofar 691,7448,Valid,L5,428.00000,Found,01/01/2001 12:00:00 AM,19.40672,54.75822,"(19.40672, 54.75822)",Oman
Dhofar 692,7449,Valid,H5/6,53.00000,Found,01/01/2001 12:00:00 AM,19.41362,54.76867,"(19.41362, 54.76867)",Oman
Dhofar 693,7450,Valid,H5,101.00000,Found,01/01/2001 12:00:00 AM,19.42120,54.79520,"(19.4212, 54.7952)",Oman
Dhofar 694,7451,Valid,H5,147.00000,Found,01/01/2001 12:00:00 AM,19.42977,54.80397,"(19.42977, 54.80397)",Oman
Dhofar 695,7452,Valid,H3.9,702.00000,Found,01/01/2002 12:00:00 AM,19.28167,54.83000,"(19.28167, 54.83)",Oman
Dhofar 696,7453,Valid,L6,233.00000,Found,01/01/2002 12:00:00 AM,19.23667,54.75833,"(19.23667, 54.75833)",Oman
Dhofar 697,7454,Valid,L6,409.00000,Found,01/01/2002 12:00:00 AM,19.38333,54.59500,"(19.38333, 54.595)",Oman
Dhofar 698,33715,Valid,H4,268.00000,Found,01/01/2001 12:00:00 AM,19.18700,54.77733,"(19.187, 54.77733)",Oman
Dhofar 699,7455,Valid,H4,444.00000,Found,01/01/2002 12:00:00 AM,19.10333,54.82833,"(19.10333, 54.82833)",Oman
Dhofar 700,7456,Valid,Diogenite,2770.00000,Found,01/01/2002 12:00:00 AM,19.30833,54.55167,"(19.30833, 54.55167)",Oman
Dhofar 701,7457,Valid,L5,220.00000,Found,01/01/2002 12:00:00 AM,19.14833,54.80333,"(19.14833, 54.80333)",Oman
Dhofar 702,7458,Valid,H4,2878.00000,Found,01/01/2002 12:00:00 AM,19.16500,54.77667,"(19.165, 54.77667)",Oman
Dhofar 703,7459,Valid,L5,205.00000,Found,01/01/2001 12:00:00 AM,19.17333,54.87500,"(19.17333, 54.875)",Oman
Dhofar 704,7460,Valid,L4,280.00000,Found,01/01/2001 12:00:00 AM,18.89167,54.58667,"(18.89167, 54.58667)",Oman
Dhofar 705,7461,Valid,L6,283.00000,Found,01/01/2001 12:00:00 AM,18.81667,54.26167,"(18.81667, 54.26167)",Oman
Dhofar 706,7462,Valid,H5,255.00000,Found,01/01/2001 12:00:00 AM,19.05333,54.53333,"(19.05333, 54.53333)",Oman
Dhofar 707,7463,Valid,L5,205.00000,Found,01/01/2001 12:00:00 AM,18.42500,54.16000,"(18.425, 54.16)",Oman
Dhofar 708,7464,Valid,H3,209.00000,Found,01/01/2001 12:00:00 AM,18.34500,54.17500,"(18.345, 54.175)",Oman
Dhofar 709,7465,Valid,LL6,336.00000,Found,01/01/2001 12:00:00 AM,18.38500,54.13500,"(18.385, 54.135)",Oman
Dhofar 710,7466,Valid,L6,182.00000,Found,01/01/2001 12:00:00 AM,18.46000,54.00667,"(18.46, 54.00667)",Oman
Dhofar 711,7467,Valid,L5,370.00000,Found,01/01/2001 12:00:00 AM,18.49833,54.04333,"(18.49833, 54.04333)",Oman
Dhofar 712,7468,Valid,L6,577.00000,Found,01/01/2001 12:00:00 AM,18.69833,54.61333,"(18.69833, 54.61333)",Oman
Dhofar 713,7469,Valid,H6,362.00000,Found,01/01/2001 12:00:00 AM,18.71500,54.35833,"(18.715, 54.35833)",Oman
Dhofar 714,7470,Valid,H5,207.00000,Found,01/01/2000 12:00:00 AM,18.25167,54.42500,"(18.25167, 54.425)",Oman
Dhofar 715,7471,Valid,LL4,252.00000,Found,01/01/2000 12:00:00 AM,18.90000,54.40000,"(18.9, 54.4)",Oman
Dhofar 716,7472,Valid,LL5,361.00000,Found,01/01/2001 12:00:00 AM,19.16667,54.58333,"(19.16667, 54.58333)",Oman
Dhofar 717,7473,Valid,L6,6.00000,Found,01/01/2001 12:00:00 AM,19.32667,54.78500,"(19.32667, 54.785)",Oman
Dhofar 718,7474,Valid,L5,38.00000,Found,01/01/2002 12:00:00 AM,19.31333,54.85167,"(19.31333, 54.85167)",Oman
Dhofar 719,7475,Valid,L4,12.00000,Found,01/01/2002 12:00:00 AM,19.25500,54.80000,"(19.255, 54.8)",Oman
